State,Year,Season,Produce,Temperature,Rainfall
Chhattisgarh,2002,Whole Year,5.734622823984526,26.5,990.2
Chhattisgarh,2003,Whole Year,5.716697936210132,26.32,1694.3
Chhattisgarh,2004,Whole Year,5.420391577391947,26.13,1144.5
Chhattisgarh,2005,Whole Year,5.735925925925926,26.21,1287.2
Chhattisgarh,2006,Whole Year,5.816995900111815,26.26,1317.7
Chhattisgarh,2007,Whole Year,5.87083489329839,26.28,1281.2
Chhattisgarh,2008,Whole Year,5.278046962355572,26.1,1108.5
Chhattisgarh,2009,Whole Year,5.385606874328679,26.89,956.6
Chhattisgarh,2010,Whole Year,5.0423850574712645,26.76,1306.6
Chhattisgarh,2011,Whole Year,5.099897715649505,26.06,1302.7
Chhattisgarh,2012,Whole Year,5.59488913942127,26.21,1377.4
Chhattisgarh,2013,Whole Year,5.324183365358222,25.83,1420.0
Chhattisgarh,2014,Whole Year,5.4747356051703875,26.02,1278.7
Haryana,1998,Whole Year,17.045454545454547,24.89,685.3
Haryana,2000,Whole Year,20.833333333333332,25.29,384.4
Haryana,2001,Whole Year,0.0,25.28,485.5
Haryana,2002,Whole Year,19.148936170212767,25.63,357.2
Haryana,2003,Whole Year,20.77922077922078,24.83,597.6
Haryana,2004,Whole Year,20.0,25.59,487.3
Haryana,2005,Whole Year,18.89763779527559,24.8,519.5
Haryana,2006,Whole Year,21.05263157894737,25.47,330.9
Haryana,2007,Whole Year,18.46153846153846,25.43,446.6
Haryana,2008,Whole Year,18.072289156626507,25.12,710.4
Haryana,2009,Whole Year,18.64406779661017,25.81,395.4
Haryana,2010,Whole Year,0.0,25.89,640.5
Haryana,2011,Whole Year,0.0,25.27,512.0
Haryana,2012,Whole Year,12.849162011173185,25.09,391.4
Himachal Pradesh,2001,Whole Year,0.0,10.42,991.8
Karnataka,1999,Whole Year,7.6413695728909286,25.85,3779.9
Karnataka,2000,Whole Year,7.3610397029420165,25.89,3351.3
Karnataka,2002,Whole Year,7.940117994100295,26.33,2793.1
Karnataka,2003,Whole Year,8.021787709497207,26.4,3071.9
Karnataka,2004,Whole Year,8.149316215461903,26.02,3070.0
Karnataka,2005,Whole Year,8.152562574493444,26.02,3470.9
Karnataka,2006,Whole Year,8.30391506303915,26.2,3837.3
Karnataka,2007,Whole Year,8.361967440249394,26.25,3860.2
Karnataka,2008,Whole Year,10.119598765432098,26.1,3206.4
Karnataka,2009,Whole Year,6.571130579891531,26.57,3862.0
Karnataka,2010,Whole Year,8.24126213592233,26.5,3686.8
Karnataka,2011,Whole Year,14.571895424836601,26.16,3908.6
Karnataka,2012,Whole Year,15.511884057971015,26.39,
Karnataka,2013,Whole Year,14.67552,26.18,4229.4
Karnataka,2014,Whole Year,16.961004431314624,26.41,3684.4
Kerala,1998,Whole Year,10.849863512283894,26.93,3151.5
Kerala,1999,Whole Year,10.816986855409505,26.31,2914.6
Kerala,2000,Whole Year,10.98406862745098,26.38,2412.6
Kerala,2001,Whole Year,11.609103078982598,26.57,2931.1
Kerala,2002,Whole Year,12.309411764705882,26.74,2507.4
Kerala,2003,Whole Year,11.957085828343313,26.78,2394.9
Kerala,2004,Whole Year,11.977272727272727,26.43,2886.1
Kerala,2005,Whole Year,12.676511954992968,26.56,3031.1
Kerala,2006,Whole Year,12.683168316831683,26.55,3420.6
Kerala,2007,Whole Year,12.711422845691382,26.53,3489.6
Kerala,2008,Whole Year,12.505181347150259,26.38,2524.5
Kerala,2009,Whole Year,11.466165413533835,26.79,2810.6
Kerala,2012,Whole Year,16.95035460992908,26.82,2151.1
Kerala,2013,Whole Year,16.51818181818182,26.64,3255.4
Kerala,2014,Whole Year,14.191135734072022,26.77,3046.4
Madhya Pradesh,1999,Whole Year,6.186374314800314,25.66,1052.7
Madhya Pradesh,2001,Whole Year,5.683301861343405,25.78,787.0
Madhya Pradesh,2002,Whole Year,5.665956880489753,26.24,684.1
Madhya Pradesh,2003,Whole Year,5.69013347291285,25.91,946.4
Madhya Pradesh,2004,Whole Year,5.780680728667305,26.04,848.1
Madhya Pradesh,2005,Whole Year,5.482857827859027,25.69,752.2
Madhya Pradesh,2006,Whole Year,5.560933660933661,25.92,1169.2
Madhya Pradesh,2007,Whole Year,5.479744136460554,25.98,806.5
Madhya Pradesh,2008,Whole Year,5.795200892857143,25.72,791.1
Madhya Pradesh,2009,Whole Year,5.94881326851587,26.65,877.0
Madhya Pradesh,2010,Whole Year,4.153810191678354,26.56,776.3
Madhya Pradesh,2011,Whole Year,4.646222583265637,25.73,1063.9
Madhya Pradesh,2012,Whole Year,5.640843554981709,25.78,1035.2
Madhya Pradesh,2013,Whole Year,6.472780569514238,25.49,1396.3
Meghalaya,1997,Whole Year,3.2574827321565616,21.15,2372.2
Meghalaya,1998,Whole Year,3.3373866049025285,22.09,2803.1
Meghalaya,1999,Whole Year,3.3699233716475097,22.26,2594.2
Meghalaya,2000,Whole Year,3.3760451098580595,21.36,2487.0
Meghalaya,2001,Whole Year,3.364427357345204,22.16,2178.4
Meghalaya,2002,Whole Year,3.313547345043408,21.87,2392.7
Meghalaya,2003,Whole Year,3.3002266639192253,21.88,2434.1
Meghalaya,2004,Kharif,3.2513067953357457,21.9,1849.7
Meghalaya,2004,Whole Year,3.2513067953357457,21.9,2994.3
Meghalaya,2005,Whole Year,3.2703517587939697,22.12,2468.3
Meghalaya,2006,Rabi,3.3163533454618963,22.49,195.8
Meghalaya,2008,Whole Year,3.2500510725229828,22.01,2339.7
Meghalaya,2009,Kharif,3.1953160527512505,22.8,1473.5
Meghalaya,2010,Kharif,3.2037261069441083,22.65,1690.2
Meghalaya,2011,Kharif,3.2903458213256482,22.04,1236.0
Meghalaya,2012,Kharif,3.3940964398377647,21.47,1874.8
Meghalaya,2013,Kharif,3.491964285714286,21.52,1172.9
Meghalaya,2014,Kharif,3.564516129032258,21.77,1705.5
Rajasthan,1998,Whole Year,3.3788522848034006,26.04,279.6
Rajasthan,1999,Whole Year,2.364172068355922,26.17,204.3
Rajasthan,2000,Whole Year,3.284625158831004,26.18,235.3
Rajasthan,2001,Whole Year,2.2618453865336656,26.03,285.3
Rajasthan,2002,Whole Year,1.0802768166089964,26.51,92.4
Rajasthan,2003,Whole Year,2.300821917808219,25.86,368.1
Rajasthan,2004,Whole Year,2.9452571967909393,26.51,196.7
Rajasthan,2005,Whole Year,2.298064516129032,25.67,260.8
Rajasthan,2006,Whole Year,3.077652637818613,26.21,361.3
Rajasthan,2007,Whole Year,3.043498817966903,26.3,310.8
Rajasthan,2008,Whole Year,0.0,25.95,324.1
Rajasthan,2009,Whole Year,0.0,26.81,160.4
Rajasthan,2010,Whole Year,2.75879917184265,26.8,473.2
Tamil Nadu,1997,Whole Year,14.539732494099134,27.71,950.5
Tamil Nadu,1998,Whole Year,17.356545961002787,28.07,1079.7
Tamil Nadu,1999,Whole Year,12.106989247311828,27.4,922.6
Tamil Nadu,2000,Whole Year,11.551310043668122,27.5,972.0
Tamil Nadu,2002,Whole Year,13.662162162162161,27.8,318.0
Tamil Nadu,2003,Whole Year,14.484119345524542,27.85,348.5
Tamil Nadu,2004,Whole Year,15.116678596993557,27.49,1037.6
Tamil Nadu,2005,Whole Year,20.85744530698659,27.64,1365.3
Tamil Nadu,2006,Whole Year,16.799467613132208,27.65,927.9
Tamil Nadu,2007,Whole Year,13.584558823529411,27.61,1067.2
Tamil Nadu,2008,Whole Year,13.287234042553191,27.51,1203.4
Tamil Nadu,2009,Whole Year,14.62853470437018,27.91,928.5
Tamil Nadu,2011,Whole Year,20.48974358974359,27.69,926.5
Tamil Nadu,2013,Whole Year,21.10810810810811,27.7,741.9
Uttar Pradesh,2004,Whole Year,11.129676134395567,26.21,746.9
Uttar Pradesh,2005,Whole Year,13.083658917757374,25.81,770.3
Uttar Pradesh,2006,Kharif,13.64891529199597,26.2,574.8
Uttar Pradesh,2007,Kharif,13.462983065566652,26.08,621.6
Uttar Pradesh,2008,Kharif,12.281998258598172,25.81,917.6
Uttar Pradesh,2009,Kharif,13.6000119345984,26.59,496.0
Uttar Pradesh,2010,Kharif,12.314977054651647,26.63,645.2
Uttar Pradesh,2011,Kharif,12.994021270480022,25.85,740.2
Uttar Pradesh,2012,Kharif,12.946785714285713,25.85,573.1
Uttar Pradesh,2013,Kharif,13.215027829313543,25.62,864.0
Uttar Pradesh,2014,Kharif,12.387274995544466,25.65,517.1
